feature,outlier_count
Response_time_ms,110
Load_time_ms,52
DOM_Content_Loaded_Time_ms,78
First_byte_TTFB_ms,115
Total_links,233
No_of_requests,242
Byte_in_bytes,97
Page_size_MB,240
Largest_contentful_paint_LCP_ms,37
Cumulative_Layout_Shift_CLS,245
First_Contentful_Paint_FCP_ms,28
Time_to_interactive_TTI_ms,57
Speed_Index_ms,19
Interaction_to_Next_Paint_INP_ms,154
Design_optimization_score,80
JavaScript_Execution_Time_ms,91
Main_Thread_Work_CPU_ms,66
CSS_Blocking_Time_ms,71
Broken_link_count,125
Start_render_time_ms,100
Document_complete_time_ms,61
