target_idx,feature,importance
0,Response_time_ms,125.0
0,Load_time_ms,165.0
0,DOM_Content_Loaded_Time_ms,111.0
0,First_byte_TTFB_ms,153.0
0,Total_links,122.0
0,No_of_requests,94.0
0,Byte_in_bytes,253.0
0,Page_size_MB,71.0
0,Speed_Index_ms,465.0
0,Interaction_to_Next_Paint_INP_ms,82.0
0,Design_optimization_score,283.0
0,JavaScript_Execution_Time_ms,181.0
0,Main_Thread_Work_CPU_ms,183.0
0,CSS_Blocking_Time_ms,190.0
0,Broken_link_count,139.0
0,Start_render_time_ms,134.0
0,Document_complete_time_ms,249.0
1,Response_time_ms,257.0
1,Load_time_ms,213.0
1,DOM_Content_Loaded_Time_ms,163.0
1,First_byte_TTFB_ms,142.0
1,Total_links,257.0
1,No_of_requests,217.0
1,Byte_in_bytes,149.0
1,Page_size_MB,216.0
1,Speed_Index_ms,176.0
1,Interaction_to_Next_Paint_INP_ms,91.0
1,Design_optimization_score,257.0
1,JavaScript_Execution_Time_ms,90.0
1,Main_Thread_Work_CPU_ms,118.0
1,CSS_Blocking_Time_ms,69.0
1,Broken_link_count,225.0
1,Start_render_time_ms,206.0
1,Document_complete_time_ms,124.0
2,Response_time_ms,141.0
2,Load_time_ms,203.0
2,DOM_Content_Loaded_Time_ms,121.0
2,First_byte_TTFB_ms,132.0
2,Total_links,83.0
2,No_of_requests,106.0
2,Byte_in_bytes,100.0
2,Page_size_MB,40.0
2,Speed_Index_ms,325.0
2,Interaction_to_Next_Paint_INP_ms,80.0
2,Design_optimization_score,157.0
2,JavaScript_Execution_Time_ms,115.0
2,Main_Thread_Work_CPU_ms,155.0
2,CSS_Blocking_Time_ms,119.0
2,Broken_link_count,111.0
2,Start_render_time_ms,920.0
2,Document_complete_time_ms,92.0
3,Response_time_ms,136.0
3,Load_time_ms,162.0
3,DOM_Content_Loaded_Time_ms,161.0
3,First_byte_TTFB_ms,177.0
3,Total_links,110.0
3,No_of_requests,99.0
3,Byte_in_bytes,213.0
3,Page_size_MB,87.0
3,Speed_Index_ms,310.0
3,Interaction_to_Next_Paint_INP_ms,132.0
3,Design_optimization_score,270.0
3,JavaScript_Execution_Time_ms,251.0
3,Main_Thread_Work_CPU_ms,188.0
3,CSS_Blocking_Time_ms,148.0
3,Broken_link_count,154.0
3,Start_render_time_ms,190.0
3,Document_complete_time_ms,212.0
